"materialEntity_fk"	"assertionValue"	"assertionUnit"	"assertionType"	"assertionBy"
"P112.2BS"	264	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P112.2BS_pure"	54	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P113.2AS"	4	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P113.2AS_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P113.2BS"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P113.2BS_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P114.1AL"	54	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P114.1AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P114.1AS"	261	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P114.1AS_pure"	53	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P114.1BS"	568	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P114.1BS_pure"	97	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P114.2AL"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P114.2AL_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P114.2AS"	102	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P114.2AS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P114.2BL"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P114.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P114.2BS"	294	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P114.2BS_pure"	91	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P115.1AL"	58	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P115.1AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P115.1AS"	106	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P115.1AS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P115.1BL"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P115.1BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P115.1BS"	131	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P115.1BS_pure"	51	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P115.2AL"	19	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P115.2AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P115.2AS"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P115.2AS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P115.2BL"	20	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P115.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P115.2BS"	157	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P115.2BS_pure"	51	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P116.1AL"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P116.1AL_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P116.1AS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P116.1AS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P116.1BL"	150	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P116.1BL_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P116.1BS"	75	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P116.1BS_pure"	47	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P116.2AL"	15	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P116.2AL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P116.2AS"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P116.2AS_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P116.2BL"	90	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P116.2BL_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P116.2BS"	92	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P116.2BS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P117.1AL"	64	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P117.1AL_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P117.1AS"	71	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P117.1AS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P117.1BS"	244	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P117.1BS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P117.2AL"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P117.2AS"	17	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P117.2AS_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P117.2BS"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P117.2BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P118.1AL"	4	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P118.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P118.1AS"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P118.1AS_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P118.1BL"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P118.1BL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P118.1BS"	117	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P118.1BS_pure"	60	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P118.2AL"	82	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P118.2AL_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P118.2AS"	88	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P118.2AS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P118.2BL"	4	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P118.2BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P118.2BS"	84	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P118.2BS_pure"	40	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P119.1AS"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P119.1AS_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P119.1BS"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P119.1BS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P119.2AS"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P119.2AS_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P119.2BL"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P119.2BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P119.2BS"	123	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P119.2BS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P12.1AL"	102	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P12.1AL_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P12.1AS"	53	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P12.1AS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P12.1BS"	31	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P12.1BS_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P12.2AL"	3	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P12.2AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P12.2AS"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P12.2AS_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P12.2BL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P12.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P12.2BS"	86	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P12.2BS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P120.1AS"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P120.1AS_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P120.1BL"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P120.1BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P120.1BS"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P120.1BS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P120.2AL"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P120.2AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P120.2AS"	90	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P120.2AS_pure"	44	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P120.2BL"	32	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P120.2BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P120.2BS"	146	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P120.2BS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P121.1AL"	39	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P121.1AL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P121.1AS"	49	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P121.1AS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P121.1BL"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P121.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P121.1BS"	236	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P121.1BS_pure"	73	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P121.2AL"	4	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P121.2AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P121.2AS"	75	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P121.2AS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P121.2BL"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P121.2BL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P121.2BS"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P121.2BS_pure"	48	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P122.1AL"	85	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P122.1AL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P122.1AS"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P122.1AS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P122.1BS"	20	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P122.1BS_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P122.2AL"	34	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P122.2AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P122.2AS"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P122.2AS_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P122.2BL"	22	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P122.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P122.2BS"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P122.2BS_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P123.1AS"	65	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P123.1AS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P123.1BS"	83	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P123.1BS_pure"	49	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P123.2AL"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P123.2AS"	100	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P123.2BL"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P123.2BS"	57	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P123.2BS_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P124.1AL"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P124.1AL_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P124.1AS"	39	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P124.1AS_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P124.1BL"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P124.1BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P124.1BS"	40	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P124.1BS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P124.2AL"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P124.2AL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P124.2AS"	31	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P124.2AS_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P124.2BL"	116	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P124.2BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P124.2BS"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P124.2BS_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P126.1AL"	96	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P126.1AL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P126.1AS"	64	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P126.1AS_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P127.1AS"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P127.1AS_pure"	21	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P127.1BL"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P127.1BS"	211	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P127.1BS_pure"	76	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P127.2AL"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P127.2AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P127.2AS"	50	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P127.2AS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P127.2BL"	43	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P127.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P127.2BS"	77	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P127.2BS_pure"	44	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P128.1AL"	91.3	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P128.1AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P128.1AS"	125.5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P128.1AS_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P128.1BL"	73	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P128.1BL_pure"	12	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P128.1BS"	26	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P128.1BS_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P128.2AL"	107	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P128.2AL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P128.2AS"	27	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P128.2AS_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P128.2BL"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P128.2BL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P128.2BS"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P128.2BS_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P129.1AS"	66	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P129.1AS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P129.1BL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P129.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P129.1BS"	72	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P129.1BS_pure"	47	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P13.1AL"	15	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P13.1AL_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P13.1AS"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P13.1AS_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P13.1BS"	27	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P13.1BS_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P13.2AS"	34	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P13.2AS_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P13.2BL"	48	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P13.2BS"	24	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P130.1AL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P130.1AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P130.1AS"	240	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P130.1AS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P130.1BL"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P130.1BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P130.1BS"	110	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P130.1BS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P130.2AS"	34	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P130.2AS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P130.2BL"	34	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P130.2BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P130.2BS"	2045	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P130.2BS_pure"	124	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P132.1AL"	46	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P132.1AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P132.1AS"	49	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P132.1AS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P132.1BS"	62	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P132.1BS_pure"	52	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P132.2AS"	28	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P132.2AS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P132.2BS"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P132.2BS_pure"	44	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P133.1AL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P133.1AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P133.1AS"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P133.1AS_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P133.1BS"	3	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P133.1BS_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P133.2AS"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P133.2AS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P133.2BS"	94	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P133.2BS_pure"	61	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P134.1AL"	3	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P134.1AS"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P134.1AS_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P134.1BL"	59	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P134.1BL_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P134.1BS"	61	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P134.1BS_pure"	57	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P134.2AL"	35	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P134.2AL_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P134.2AS"	4	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P134.2AS_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P134.2BL"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P134.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P134.2BS"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P134.2BS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P135.1AL"	91	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P135.1AS"	32	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P135.1BL"	31	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P135.1BS"	48	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P135.2AL"	151	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P135.2AS"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P135.2BL"	19	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P135.2BS"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P136.1AL"	76	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P136.1AL_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P136.1AS"	114	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P136.1AS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P136.1BL"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P136.1BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P136.1BS"	62	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P136.1BS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P136.2AL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P136.2AS"	93	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P136.2AS_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P136.2BL"	74	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P136.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P136.2BS"	91	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P136.2BS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P137.1AS"	12	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P137.1AS_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P137.1BS"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P137.1BS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P137.2AL"	529	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P137.2AL_pure"	44	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P137.2AS"	82	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P137.2AS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P137.2BL"	37	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P137.2BL_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P137.2BS"	174	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P137.2BS_pure"	58	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P138.1AL"	17	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P138.1AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P138.1AS"	22	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P138.1AS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P138.1BS"	32	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P138.1BS_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P138.2AL"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P138.2AL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P138.2AS"	124	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
