"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","collectorNumber","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","discipline","disposition","eventID","evidenceForOccurrenceID","externalClassificationSource","feedbackURL","geoClassificationCode","geoName","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","scientificName","scientificNameAuthorship","scientificNameID","taxonID","taxonRank","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel","vernacularName"
"","ZMA.AVES.34938","","","","","","","","","","","https://doi.org/TEST/ZZJ-5MS-A7V","Zoology","","494117d6a8118be6f0f0c9e35e57a3a6","","","https://doi.org/TEST/ZZJ-5MS-A7V","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.34938","","","","","","","","","Wing (study skin)","","","","","","","","","","",""
"","RMNH.AVES.198327","","","","","","","","","","","https://doi.org/TEST/ZZH-ZBT-8YK","Zoology","","4aa46a356e815b6522d70aa76898b4ef","","","https://doi.org/TEST/ZZH-ZBT-8YK","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.198327","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.197050","","","","","","","","","","","https://doi.org/TEST/ZZH-Z16-XS7","Zoology","","66ade3202a2c6ba22ae6f4597cb8448e","","","https://doi.org/TEST/ZZH-Z16-XS7","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.197050","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.229353","","","","","","","","","","","https://doi.org/TEST/ZZH-TW4-RV8","Zoology","","cde0f457de398532aa556b229a375281","","","https://doi.org/TEST/ZZH-TW4-RV8","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.229353","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.169996","","","","","","","","","","","https://doi.org/TEST/ZZH-PGC-1CP","Zoology","","630f7aa4348d0d9dddc499ae0ecf4962","","","https://doi.org/TEST/ZZH-PGC-1CP","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.169996","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.214162","","","","","","","","","","","https://doi.org/TEST/ZZH-NVF-CB5","Zoology","","fafcf269ba3b4ec43b460d14ddd6264d","","","https://doi.org/TEST/ZZH-NVF-CB5","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.214162","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","ZMA.AVES.64784","","","","","","","","","","","https://doi.org/TEST/ZZH-L3G-KAN","Zoology","","f1e2d03c31775ec622dac3d3e43882e1","","","https://doi.org/TEST/ZZH-L3G-KAN","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.64784","","","","","","","","","nest (air dried)","","","","","","","","","","",""
"","RMNH.AVES.124655","","","","","","","","","","","https://doi.org/TEST/ZZH-FGM-V6Y","Zoology","","26cdb164fa6ce64f0805852dc42934c2","","","https://doi.org/TEST/ZZH-FGM-V6Y","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.124655","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","ZMA.AVES.17803","","","","","","","","","","","https://doi.org/TEST/ZZH-DAA-S03","Zoology","","74dcc9f511d0a2a59fe2fb1e2596e818","","","https://doi.org/TEST/ZZH-DAA-S03","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.17803","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.57764","","","","","","","","","","","https://doi.org/TEST/ZZH-AXD-3KG","Zoology","","05d7535bc9717505b91f2a203d54fc26","","","https://doi.org/TEST/ZZH-AXD-3KG","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.57764","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.90239","","","","","","","","","","","https://doi.org/TEST/ZZH-8RW-7BK","Zoology","","e169ae5103b53a405abfe6c3da2bb385","","","https://doi.org/TEST/ZZH-8RW-7BK","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.90239","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.232841","","","","","","","","","","","https://doi.org/TEST/ZZH-87H-Y3K","Zoology","","4b7ca2e8c6a833d12157141644c77efe","","","https://doi.org/TEST/ZZH-87H-Y3K","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.232841","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.58274","","","","","","","","","","","https://doi.org/TEST/ZZH-7QJ-06W","Zoology","","1270c08cc2658133326f7af4ec2465a7","","","https://doi.org/TEST/ZZH-7QJ-06W","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.58274","","","","","","","","","skin (air dried)","","","","","","","","","","",""
